Average of train_loss,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,adadelta,adagrad,adam,bhh,bhh_gd_only,de,ga,momentum,nag,pso,rmsprop,sgd,,step,adadelta,adagrad,adam,bhh,bhh_gd_only,de,ga,momentum,nag,pso,rmsprop,sgd
6,0.483333338,0.84,0.966666658,0.902666666,0.893333328,0.719999992,0.736666668,0.580000012,0.863333334,0.909999996,0.956666652,0.653333332,,6,0.483333338,0.84,0.966666658,0.902666666,0.893333328,0.719999992,0.736666668,0.580000012,0.863333334,0.909999996,0.956666652,0.653333332
7,0.513333338,0.836666674,0.963333328,0.897666665,0.895999996,0.686666658,0.769999995,0.62000001,0.896666671,0.916666659,0.959999988,0.646666686,,7,0.513333338,0.836666674,0.963333328,0.897666665,0.895999996,0.686666658,0.769999995,0.62000001,0.896666671,0.916666659,0.959999988,0.646666686
8,0.543333335,0.840000004,0.966666664,0.915666664,0.902999995,0.72333333,0.76666667,0.636666679,0.91666666,0.92333334,0.959999988,0.646666676,,8,0.543333335,0.840000004,0.966666664,0.915666664,0.902999995,0.72333333,0.76666667,0.636666679,0.91666666,0.92333334,0.959999988,0.646666676
9,0.55,0.843333334,0.95666666,0.912999998,0.908999996,0.706666675,0.766666655,0.660000005,0.913333326,0.939999986,0.956666658,0.650000009,,9,0.55,0.843333334,0.95666666,0.912999998,0.908999996,0.706666675,0.766666655,0.660000005,0.913333326,0.939999986,0.956666658,0.650000009
10,0.566666663,0.846666664,0.96666666,0.917666665,0.916666661,0.743333341,0.77,0.659999999,0.926666666,0.956666654,0.963333318,0.650000003,,10,0.566666663,0.846666664,0.96666666,0.917666665,0.916666661,0.743333341,0.77,0.659999999,0.926666666,0.956666654,0.963333318,0.650000003
11,0.586666659,0.846666664,0.96666666,0.920666661,0.91933333,0.8,0.753333334,0.673333347,0.933333326,0.936666654,0.966666654,0.656666669,,11,0.586666659,0.846666664,0.96666666,0.920666661,0.91933333,0.8,0.753333334,0.673333347,0.933333326,0.936666654,0.966666654,0.656666669
12,0.613333324,0.846666664,0.96666666,0.918999995,0.923999996,0.756666662,0.793333333,0.676666677,0.933333326,0.929999986,0.963333324,0.656666669,,12,0.613333324,0.846666664,0.96666666,0.918999995,0.923999996,0.756666662,0.793333333,0.676666677,0.933333326,0.929999986,0.963333324,0.656666669
13,0.636666657,0.846666664,0.969999994,0.919333332,0.920999993,0.79666665,0.773333335,0.670000009,0.929999996,0.936666658,0.966666654,0.673333335,,13,0.636666657,0.846666664,0.969999994,0.919333332,0.920999993,0.79666665,0.773333335,0.670000009,0.929999996,0.936666658,0.966666654,0.673333335
14,0.643333317,0.846666664,0.969999996,0.924999997,0.928666663,0.77333333,0.79666666,0.673333334,0.929999996,0.953333328,0.959999994,0.673333335,,14,0.643333317,0.846666664,0.969999996,0.924999997,0.928666663,0.77333333,0.79666666,0.673333334,0.929999996,0.953333328,0.959999994,0.673333335
15,0.659999986,0.846666664,0.96666666,0.930666661,0.929999996,0.786666665,0.776666659,0.676666676,0.93666666,0.956666662,0.963333324,0.679999998,,15,0.659999986,0.846666664,0.96666666,0.930666661,0.929999996,0.786666665,0.776666659,0.676666676,0.93666666,0.956666662,0.963333324,0.679999998
16,0.680000001,0.846666664,0.96666666,0.927333329,0.932333325,0.810000004,0.803333333,0.683333336,0.939999994,0.92333333,0.966666648,0.679999998,,16,0.680000001,0.846666664,0.96666666,0.927333329,0.932333325,0.810000004,0.803333333,0.683333336,0.939999994,0.92333333,0.966666648,0.679999998
17,0.683333326,0.846666664,0.96666666,0.935666666,0.932999994,0.820000004,0.799999993,0.690000001,0.939999994,0.95999999,0.959999982,0.679999998,,17,0.683333326,0.846666664,0.96666666,0.935666666,0.932999994,0.820000004,0.799999993,0.690000001,0.939999994,0.95999999,0.959999982,0.679999998
18,0.686666661,0.846666664,0.96666666,0.932999997,0.93266666,0.833333334,0.823333328,0.693333331,0.943333324,0.953333324,0.963333318,0.683333331,,18,0.686666661,0.846666664,0.96666666,0.932999997,0.93266666,0.833333334,0.823333328,0.693333331,0.943333324,0.953333324,0.963333318,0.683333331
19,0.683333331,0.846666664,0.969999996,0.931666661,0.926999997,0.766666669,0.806666665,0.696666666,0.946666658,0.943333326,0.966666648,0.683333331,,19,0.683333331,0.846666664,0.969999996,0.931666661,0.926999997,0.766666669,0.806666665,0.696666666,0.946666658,0.943333326,0.966666648,0.683333331
20,0.686666661,0.846666664,0.96666666,0.936999995,0.931999996,0.776666665,0.806666664,0.699999996,0.946666658,0.950000002,0.966666648,0.683333331,,20,0.686666661,0.846666664,0.96666666,0.936999995,0.931999996,0.776666665,0.806666664,0.699999996,0.946666658,0.950000002,0.966666648,0.683333331
