dataset,heuristic_type,heuristic,is_baseline,population,burn_in,replay,reselection,reanalysis,normalisation,credit,discounted_rewards,run,step,train_loss,train_accuracy,test_loss,test_accuracy
iris,standalone,adagrad,,,,,,,,,,9,20,0.3258526,0.8833333,0.29533625,0.9
iris,standalone,sgd,,,,,,,,,,9,20,0.9639521,0.41666666,0.9970557,0.4
iris,standalone,de,,,,,,,,,,9,20,0.4544187,0.78333336,0.4743839,0.76666665
iris,standalone,pso,,,,,,,,,,9,20,0.0312586,0.9916667,0.0067266845,1.0
iris,standalone,adam,,,,,,,,,,9,20,0.057727832,0.975,0.098879926,0.93333334
iris,standalone,adadelta,,,,,,,,,,9,20,0.81898946,0.825,0.87386036,0.76666665
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,9,20,0.181402621,0.94583331799999992,0.18993953400000002,0.94666666199999994
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,9,20,0.1288292257,0.959166669,0.1445522881,0.95666665800000006
iris,standalone,ga,,,,,,,,,,10,20,0.5765945,0.7583333,0.6904145,0.6666667
iris,standalone,rmsprop,,,,,,,,,,10,20,0.07621474,0.96666664,0.045811556,1.0
iris,standalone,momentum,,,,,,,,,,10,20,0.8136538,0.725,0.72793096,0.76666665
iris,standalone,nag,,,,,,,,,,10,20,0.22452882,0.90833336,0.2871548,0.8333333
iris,standalone,adagrad,,,,,,,,,,10,20,0.33972296,0.85,0.4306087,0.8
iris,standalone,sgd,,,,,,,,,,10,20,0.6857864,0.78333336,0.73933756,0.7
iris,standalone,de,,,,,,,,,,10,20,0.34574002,0.8666667,0.41145897,0.76666665
iris,standalone,pso,,,,,,,,,,10,20,0.04061483,0.98333335,0.010411483,1.0
iris,standalone,adam,,,,,,,,,,10,20,0.06823181,0.96666664,0.035952784,0.96666664
iris,standalone,adadelta,,,,,,,,,,10,20,0.7415043,0.75,0.6759922,0.9
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,10,20,0.192300111,0.93999999600000006,0.20894565999999998,0.936666662
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,10,20,0.081785226400000008,0.969166657,0.1527533557,0.94333333000000008
